Time,X,Y,Z
1718247421.377208,-0.0028194948099553585,-2.373119831085205,-2.873781681060791
1718247421.4777396,-0.002727217972278595,-2.372532844543457,-2.8728837966918945
1718247421.5783982,-0.0029505544807761908,-2.3728325366973877,-2.8732118606567383
1718247421.6788654,-0.0029323871713131666,-2.3728578090667725,-2.8733086585998535
1718247421.7791374,-0.0026118927635252476,-2.373079299926758,-2.8736579418182373
1718247421.8794556,-0.0029474401380866766,-2.372793436050415,-2.8729054927825928
1718247421.9800434,-0.0029182625003159046,-2.3725271224975586,-2.8728532791137695
1718247422.080808,-0.002899755025282502,-2.3727307319641113,-2.8731491565704346
1718247422.1813989,-0.0028205655980855227,-2.3731608390808105,-2.873491048812866
1718247422.28173,-0.002965266350656748,-2.3735098838806152,-2.874009609222412
1718247422.382147,-0.00270162895321846,-2.37359881401062,-2.874284505844116
1718247422.4828298,-0.0029476452618837357,-2.3740081787109375,-2.8746395111083984
1718247422.5835483,-0.00297394092194736,-2.3742270469665527,-2.8751025199890137
1718247422.683753,-0.0027933120727539062,-2.3740363121032715,-2.87473201751709
1718247422.7842343,-0.002773695858195424,-2.37467098236084,-2.875363349914551
1718247422.8846316,-0.002795909531414509,-2.3748207092285156,-2.875880241394043
1718247422.9849598,-0.002887382637709379,-2.374084234237671,-2.874441623687744
1718247423.0857706,-0.0029016975313425064,-2.374880075454712,-2.8758862018585205
1718247423.1864407,-0.0029182392172515392,-2.3748934268951416,-2.8757972717285156
1718247423.2871835,-0.002943923929706216,-2.374403238296509,-2.8751988410949707
1718247423.3878424,-0.002877580700442195,-2.3748676776885986,-2.8757874965667725
1718247423.4881911,-0.0028691652696579695,-2.375047445297241,-2.875328540802002
1718247423.588543,-0.002672719769179821,-2.373586416244507,-2.874101400375366
1718247423.688847,-0.0029460934456437826,-2.3726768493652344,-2.872894048690796
1718247423.7895296,-0.002863867674022913,-2.3726806640625,-2.8733224868774414
1718247423.889837,-0.002945719752460718,-2.372285842895508,-2.8725757598876953
1718247423.9903452,-0.0027628298848867416,-2.3722646236419678,-2.87239933013916
1718247424.0909877,-0.0027051211800426245,-2.3723971843719482,-2.8726048469543457
1718247424.1912997,-0.002994413720443845,-2.3725028038024902,-2.87288761138916
1718247424.2916088,-0.0027511422522366047,-2.372122287750244,-2.8721821308135986
1718247424.3918636,-0.0029424577951431274,-2.372357130050659,-2.8726258277893066
1718247424.4924712,-0.0028773159720003605,-2.3717973232269287,-2.8720176219940186
1718247424.5928965,-0.0027855378575623035,-2.371819019317627,-2.8719234466552734
1718247424.6940005,-0.002903448883444071,-2.3718743324279785,-2.872042417526245
1718247424.794431,-0.0028860759921371937,-2.3724350929260254,-2.872786521911621
1718247424.895048,-0.0028572508599609137,-2.372833251953125,-2.8732895851135254
1718247424.995459,-0.0029606292955577374,-2.3736448287963867,-2.8741865158081055
1718247425.095859,-0.002965582301840186,-2.373218297958374,-2.87375545501709
1718247425.196463,-0.002847418887540698,-2.3735361099243164,-2.874216079711914
1718247425.2970247,-0.002756586531177163,-2.3738484382629395,-2.874317169189453
1718247425.3973968,-0.0028563099913299084,-2.3737945556640625,-2.874412775039673
1718247425.497925,-0.002870355499908328,-2.3741507530212402,-2.874811887741089
1718247425.5984597,-0.0027960697188973427,-2.373985767364502,-2.8743557929992676
1718247425.6990345,-0.0029425539541989565,-2.3732173442840576,-2.8735456466674805
1718247425.7995236,-0.002919757505878806,-2.3736274242401123,-2.8742806911468506
1718247425.8999155,-0.0028562056832015514,-2.3728549480438232,-2.8731637001037598
1718247426.0001898,-0.002762692980468273,-2.3725314140319824,-2.872720956802368
1718247426.1005635,-0.0029028786811977625,-2.372704029083252,-2.8729119300842285
1718247426.2011106,-0.002862932626157999,-2.372572898864746,-2.872483491897583
1718247426.3013942,-0.00278258603066206,-2.371889591217041,-2.8718271255493164
1718247426.4020133,-0.0029263789765536785,-2.3729629516601562,-2.8735084533691406
1718247426.5028226,-0.002785536227747798,-2.373622417449951,-2.87418270111084
1718247426.6032367,-0.0028188058640807867,-2.37371563911438,-2.8742892742156982
1718247426.7037928,-0.002956334501504898,-2.37388014793396,-2.8741111755371094
1718247426.804401,-0.002756476169452071,-2.3734161853790283,-2.873711585998535
1718247426.905171,-0.002851127414032817,-2.3736884593963623,-2.8742904663085938
1718247427.006194,-0.0028596112970262766,-2.3740007877349854,-2.874713182449341
1718247427.1071918,-0.0029174862429499626,-2.374023914337158,-2.874483585357666
1718247427.2078707,-0.0027355251368135214,-2.3732738494873047,-2.873319149017334
1718247427.3080351,-0.0029717914294451475,-2.37287974357605,-2.873446464538574
1718247427.408185,-0.0027265436947345734,-2.373056173324585,-2.8734545707702637
1718247427.508808,-0.0027761689852923155,-2.3730907440185547,-2.8735878467559814
1718247427.6090398,-0.0028794845566153526,-2.3733162879943848,-2.8733930587768555
1718247427.7095418,-0.002781371120363474,-2.3741867542266846,-2.874763011932373
1718247427.8100495,-0.0028556326869875193,-2.3737804889678955,-2.8743505477905273
1718247427.9107044,-0.0028107184916734695,-2.3729777336120605,-2.8730697631835938
1718247428.0111187,-0.0028114847373217344,-2.37335205078125,-2.873701572418213
1718247428.1116219,-0.002937366021797061,-2.373680591583252,-2.8742289543151855
1718247428.2122812,-0.0027248580008745193,-2.372941732406616,-2.8731560707092285
1718247428.3130083,-0.002887917449697852,-2.373248815536499,-2.873872995376587
1718247428.4133947,-0.00296119786798954,-2.373770236968994,-2.8742544651031494
1718247428.5139186,-0.002903339918702841,-2.373936653137207,-2.87439227104187
1718247428.614351,-0.002906953915953636,-2.3734259605407715,-2.8736839294433594
1718247428.7149463,-0.0028638921212404966,-2.373744249343872,-2.874141216278076
